master_index,index,p value,Prompt,Approach,Number of Generations,Generation,Final-Text,Number of Sentences,Generations per Sentence
173,139,0.4,Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations.,NLI GPJ - ENT,18.00,"The UK’s housing market is showing signs of a “soft patch”, according to the latest data from the Royal Institution of Chartered Surveyors (Rics). The housing market is still growing, but the pace of growth has slowed. The latest data shows that the UK’s housing market is growing, but at a slower pace than it was in the first half of 2018.","Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations. -|GEN|- The UK’s housing market is showing signs of a “soft patch”, according to the latest data from the Royal Institution of Chartered Surveyors (Rics). The housing market is still growing, but the pace of growth has slowed. The latest data shows that the UK’s housing market is growing, but at a slower pace than it was in the first half of 2018.",3.00,6.00
174,140,0.4,My best friend has a huge network of friends and family and many work and community commitments.,NLI GPJ - ENT,4.00,He is a very kind and caring person and is always willing to help. He is also a very generous person and is always willing to lend a hand to others. He is a very good listener and is always willing to give advice and help. He is very good at making people feel comfortable and relaxed.,My best friend has a huge network of friends and family and many work and community commitments. -|GEN|- He is a very kind and caring person and is always willing to help. He is also a very generous person and is always willing to lend a hand to others. He is a very good listener and is always willing to give advice and help. He is very good at making people feel comfortable and relaxed.,4.00,1.00
175,116,0.96,"For all of my adult life, I've revelled in rare rib-eye steaks and oozing camembert.",NLI GPJ - ENT,4.00,"I've savoured, as many others seem to do, that golden moment when meat is perfectly cooked. It seems like a point of personal accomplishment, of ""I've made something really good,"" and of course it is, if by ""really"" you mean ""really, really delicious and a great moment in your life"".","For all of my adult life, I've revelled in rare rib-eye steaks and oozing camembert. -|GEN|- I've savoured, as many others seem to do, that golden moment when meat is perfectly cooked. It seems like a point of personal accomplishment, of ""I've made something really good,"" and of course it is, if by ""really"" you mean ""really, really delicious and a great moment in your life"".",2.00,2.00
176,117,0.96,"Here’s a 2020 resolution: Stop eating at the same old restaurants you’ve been to a thousand times and try something new, gosh darnit.",NLI GPJ - ENT,23.00,"There’s so much great food out there, let’s go experience it for ourselves! It doesn’t have to be fancy or even new, I just want to try everything!","Here’s a 2020 resolution: Stop eating at the same old restaurants you’ve been to a thousand times and try something new, gosh darnit. -|GEN|- There’s so much great food out there, let’s go experience it for ourselves! It doesn’t have to be fancy or even new, I just want to try everything!",2.00,11.50
177,118,0.96,"According to a new survey, the most expensive luxury hotel rooms in Hawaii can be found on Ka’anapali Beach.",NLI GPJ - ENT,5.00,"That’s not your regular run-of-the-mill hotel. The Ritz-Carlton Ka’anapali offers a level of exclusivity not normally found in the Hawaiian Islands. Its ocean view suites and villas, for instance, come with a private infinity pool and sweeping ocean views.","According to a new survey, the most expensive luxury hotel rooms in Hawaii can be found on Ka’anapali Beach. -|GEN|- That’s not your regular run-of-the-mill hotel. The Ritz-Carlton Ka’anapali offers a level of exclusivity not normally found in the Hawaiian Islands. Its ocean view suites and villas, for instance, come with a private infinity pool and sweeping ocean views.",3.00,1.67
178,119,0.96,"Most visitors head to the small Norwegian city of Tromso, sitting a chilly 350km above the Arctic Circle, for the Northern Lights that streak across the night sky.",NLI GPJ - ENT,17.00,"But if you want a place more in tune with the land and the people, head to the nearby Sámi village of Reine, where you’ll find a unique hotel, a chance to watch reindeer from within their world and the perfect location for a Christmas feast.","Most visitors head to the small Norwegian city of Tromso, sitting a chilly 350km above the Arctic Circle, for the Northern Lights that streak across the night sky. -|GEN|- But if you want a place more in tune with the land and the people, head to the nearby Sámi village of Reine, where you’ll find a unique hotel, a chance to watch reindeer from within their world and the perfect location for a Christmas feast.",1.00,17.00
179,120,0.96,"A rally for Donald Trump in Wildwood, NJ.",NLI GPJ - ENT,32.00,Photo: Gage Skidmore/Flickr  Donald Trump’s first 100 days have been tumultuous. The Republican Party’s presidential nominee has made plenty of headlines — but what about the other major party contenders and their policies?,"A rally for Donald Trump in Wildwood, NJ. -|GEN|- Photo: Gage Skidmore/Flickr  Donald Trump’s first 100 days have been tumultuous. The Republican Party’s presidential nominee has made plenty of headlines — but what about the other major party contenders and their policies?",2.00,16.00
180,121,0.96,Google CEO Sundar Pichai has today stated artificial intelligence (AI) will be essential in humanity's future and could even be used to fight cancer.,NLI GPJ - ENT,2.00,"At Recode's Code Conference in California, the CEO discussed how Google's AI and data sciences are helping to solve the problems of the world. He said: ""There is no doubt that AI will be essential to solving a variety of problems and will have a very positive impact on people's lives"".","Google CEO Sundar Pichai has today stated artificial intelligence (AI) will be essential in humanity's future and could even be used to fight cancer. -|GEN|- At Recode's Code Conference in California, the CEO discussed how Google's AI and data sciences are helping to solve the problems of the world. He said: ""There is no doubt that AI will be essential to solving a variety of problems and will have a very positive impact on people's lives"".",2.00,1.00
181,122,0.96,"The Senate impeachment trial of President Trump will begin in earnest Tuesday with a tussle between Republicans and Democrats over whether witnesses should be called immediately, a question that is all but certain to remain unresolved until after the first phase of the trial, when the two sides present their arguments.",NLI GPJ - ENT,19.00,"But while it’s true that Democrats have won several procedural victories in the trial so far, they are already locked in a battle on the substance of the case. The first question before the Senate is whether to call witnesses. The second question is who among the witnesses should be called.","The Senate impeachment trial of President Trump will begin in earnest Tuesday with a tussle between Republicans and Democrats over whether witnesses should be called immediately, a question that is all but certain to remain unresolved until after the first phase of the trial, when the two sides present their arguments. -|GEN|- But while it’s true that Democrats have won several procedural victories in the trial so far, they are already locked in a battle on the substance of the case. The first question before the Senate is whether to call witnesses. The second question is who among the witnesses should be called.",3.00,6.33
182,123,0.96,"The secret towards success is not the top ranks and higher qualification degrees, but it is the passion for work and the experience you gain with it over the years.",NLI GPJ - ENT,4.00,"It is more about the experience than the actual degree in most cases. The passion to work means that you love what you do, and you are interested in the outcome of it. You enjoy the challenge of a new challenge, and enjoy the opportunity to get a new experience by doing a new job.","The secret towards success is not the top ranks and higher qualification degrees, but it is the passion for work and the experience you gain with it over the years. -|GEN|- It is more about the experience than the actual degree in most cases. The passion to work means that you love what you do, and you are interested in the outcome of it. You enjoy the challenge of a new challenge, and enjoy the opportunity to get a new experience by doing a new job.",3.00,1.33
183,124,0.96,"The Atlantic Hall Educational Trust Council, (AHTC) has praised 12-year-old Miss Munachi Mbonu, for demonstrating the virtues of her school.",NLI GPJ - ENT,6.00,"The council took to their official twitter handle to commend Miss Munachi for excelling academically as well as in her sporting endeavours. According to the council, the young girl has been commended as the best academician, sportsman and role model of the school.","The Atlantic Hall Educational Trust Council, (AHTC) has praised 12-year-old Miss Munachi Mbonu, for demonstrating the virtues of her school. -|GEN|- The council took to their official twitter handle to commend Miss Munachi for excelling academically as well as in her sporting endeavours. According to the council, the young girl has been commended as the best academician, sportsman and role model of the school.",2.00,3.00
185,126,0.96,If the EU has its way then millions of Apple iPhone users could soon be forced to buy new accessories and cables for their beloved smartphones.,NLI GPJ - ENT,4.00,"The European Commission, the bloc’s top antitrust regulator, is preparing a proposal that could severely limit the use of some existing products with Apple’s Lightning connector, potentially forcing customers to buy new cables. The proposed changes would limit what Apple can do with the Lightning port.","If the EU has its way then millions of Apple iPhone users could soon be forced to buy new accessories and cables for their beloved smartphones. -|GEN|- The European Commission, the bloc’s top antitrust regulator, is preparing a proposal that could severely limit the use of some existing products with Apple’s Lightning connector, potentially forcing customers to buy new cables. The proposed changes would limit what Apple can do with the Lightning port.",2.00,2.00
186,127,0.96,Africa Magic will be kicking off the New Year with a series of reality shows.,NLI GPJ - ENT,13.00,"Nigerian actress, Vanessa has revealed that she will be hosting three reality shows for the year. The actress said the shows will have contestants who will be placed in a game of survival and the aim is to find out how far they can make it. The shows will be on the Naija MTV channel and will be hosted by the actress.","Africa Magic will be kicking off the New Year with a series of reality shows. -|GEN|- Nigerian actress, Vanessa has revealed that she will be hosting three reality shows for the year. The actress said the shows will have contestants who will be placed in a game of survival and the aim is to find out how far they can make it. The shows will be on the Naija MTV channel and will be hosted by the actress.",3.00,4.33
187,128,0.96,"JBL has again stepped up its soundbar game, after launching the Bar 5.1 Surround late last year, by using CES 2020 to announce the JBL Bar 9.1.",NLI GPJ - ENT,3.00,"This speaker delivers a ton of sound that will easily fill a sizeable room, while being easy to set up and use. The JBL Bar 9.1 features a total of 11.1 channels, with a frequency response of 70Hz - 20kHz. This allows for clean, balanced sound that's great for movie watching.","JBL has again stepped up its soundbar game, after launching the Bar 5.1 Surround late last year, by using CES 2020 to announce the JBL Bar 9.1. -|GEN|- This speaker delivers a ton of sound that will easily fill a sizeable room, while being easy to set up and use. The JBL Bar 9.1 features a total of 11.1 channels, with a frequency response of 70Hz - 20kHz. This allows for clean, balanced sound that's great for movie watching.",3.00,1.00
189,130,0.96,"As soon as she saw Julia, Kitty jumped over to her (Picture: Blue Cross /SWNS.COM).",NLI GPJ - ENT,16.00,"When you look back at your childhood, it’s not unusual to think there was a time when your mother was the funniest person in the whole world and when you realised that, despite all the years since, she never left that position. When I was younger, my mum was just that kind of person.","As soon as she saw Julia, Kitty jumped over to her (Picture: Blue Cross /SWNS.COM). -|GEN|- When you look back at your childhood, it’s not unusual to think there was a time when your mother was the funniest person in the whole world and when you realised that, despite all the years since, she never left that position. When I was younger, my mum was just that kind of person.",2.00,8.00
190,131,0.96,"The former editor of Waitrose Food Magazine who lost his job for joking about killing vegans, has adopted a plant-based diet for a week with the help of the journalist that leaked the emails leading to his dismissal.",NLI GPJ - ENT,10.00,"In a week-long ‘meat-free project’, the journalist tried veganism in order to understand the benefits for himself. In an unusual act of reporting, the journalist who leaked the email correspondence between himself and Waitrose Food Magazine that led to the firing of its editor for joking about veganism, has tried the vegan lifestyle himself – with hilarious results.","The former editor of Waitrose Food Magazine who lost his job for joking about killing vegans, has adopted a plant-based diet for a week with the help of the journalist that leaked the emails leading to his dismissal. -|GEN|- In a week-long ‘meat-free project’, the journalist tried veganism in order to understand the benefits for himself. In an unusual act of reporting, the journalist who leaked the email correspondence between himself and Waitrose Food Magazine that led to the firing of its editor for joking about veganism, has tried the vegan lifestyle himself – with hilarious results.",2.00,5.00
191,132,0.96,I’ve been corresponding with a few readers about how to install a TV antenna at home.,NLI GPJ - ENT,16.00,I’ll continue to write a few posts that provide instructions how to do this. I want to explain some terminology and provide a link to an online chart to provide a little bit of context. There are two types of “antenna”. A “directional antenna” is designed to be installed inside the home.,I’ve been corresponding with a few readers about how to install a TV antenna at home. -|GEN|- I’ll continue to write a few posts that provide instructions how to do this. I want to explain some terminology and provide a link to an online chart to provide a little bit of context. There are two types of “antenna”. A “directional antenna” is designed to be installed inside the home.,4.00,4.00
192,133,0.96,"Cocos makes a popular 2D game development engine for mobile titles, and today the Chinese company is announcing Cocos Play, a new platform that lets any app developer embed hyper-casual games in their apps.",NLI GPJ - ENT,13.00,"We got a first look at Cocos Play to see how these games might look and feel. “[Cocos Play] empowers developers with a complete development ecosystem that offers an optimal development environment, which helps developers develop a high quality gaming experience by reducing development costs, increasing speed of development and reducing risk,” read the press release.","Cocos makes a popular 2D game development engine for mobile titles, and today the Chinese company is announcing Cocos Play, a new platform that lets any app developer embed hyper-casual games in their apps. -|GEN|- We got a first look at Cocos Play to see how these games might look and feel. “[Cocos Play] empowers developers with a complete development ecosystem that offers an optimal development environment, which helps developers develop a high quality gaming experience by reducing development costs, increasing speed of development and reducing risk,” read the press release.",2.00,6.50
193,134,0.96,(Picture: Facebook/Cotton Branch Farm Sanctuary).,NLI GPJ - ENT,14.00,"This is a story that will make you want to join the animal sanctuary movement to help the rescued farm animals. Cotton Branch Farm Sanctuary, located in the mountains of North Carolina, has helped to rescue farm animals that would otherwise have ended up on the chopping block or in an early grave. These animals need help, and Cotton Branch Farm Sanctuary is doing all that it can to help with their rehabilitation and recovery.","(Picture: Facebook/Cotton Branch Farm Sanctuary). -|GEN|- This is a story that will make you want to join the animal sanctuary movement to help the rescued farm animals. Cotton Branch Farm Sanctuary, located in the mountains of North Carolina, has helped to rescue farm animals that would otherwise have ended up on the chopping block or in an early grave. These animals need help, and Cotton Branch Farm Sanctuary is doing all that it can to help with their rehabilitation and recovery.",3.00,4.67
194,135,0.96,It was a full house at the much-anticipated concert given by talented vocal students from the College of Music at Mahidol University.,NLI GPJ - ENT,2.00,"The event, titled “Vocal Performance by Students from the College of Music,” held on March 18 was presented at the Auditorium of the university at its residence in Songkla province. The concert was attended by not only students but members of the public as well.","It was a full house at the much-anticipated concert given by talented vocal students from the College of Music at Mahidol University. -|GEN|- The event, titled “Vocal Performance by Students from the College of Music,” held on March 18 was presented at the Auditorium of the university at its residence in Songkla province. The concert was attended by not only students but members of the public as well.",2.00,1.00
195,136,0.96,"CLEVELAND, Ohio – A 12-year-old boy is the third suspect charged in a carjacking at a gas station in Cleveland’s Stockyards neighborhood.",NLI GPJ - ENT,18.00,"The boy, a juvenile, was arrested July 17 on charges of complicity to commit aggravated vehicular assault and aggravated robbery, both fourth-degree felonies, Cleveland Municipal Court records show.","CLEVELAND, Ohio – A 12-year-old boy is the third suspect charged in a carjacking at a gas station in Cleveland’s Stockyards neighborhood. -|GEN|- The boy, a juvenile, was arrested July 17 on charges of complicity to commit aggravated vehicular assault and aggravated robbery, both fourth-degree felonies, Cleveland Municipal Court records show.",1.00,18.00
196,137,0.96,"Although Makar Sankranti is three to four days away, the team of 'Street Dancer 3D' has already experienced what celebrating the kite festival is like.",NLI GPJ - ENT,30.00,"""It's a very traditional day for us,"" said Deepak Chaudhry. ""It's about coming home from school, going to celebrate the evening, being part of the village community, seeing how people live, cooking food together and hanging around"". ""We are part of this celebration,"" he said.","Although Makar Sankranti is three to four days away, the team of 'Street Dancer 3D' has already experienced what celebrating the kite festival is like. -|GEN|- ""It's a very traditional day for us,"" said Deepak Chaudhry. ""It's about coming home from school, going to celebrate the evening, being part of the village community, seeing how people live, cooking food together and hanging around"". ""We are part of this celebration,"" he said.",3.00,10.00
197,138,0.96,UK’s central bank will assess the possibility of a ‘central bank digital currency’ - Financial giants.,NLI GPJ - ENT,5.00,"The Bank of England is looking to explore a central bank digital currency, a new form of money with the potential to provide major benefits in terms of security and efficiency. The Bank of England (BoE) said it is looking into developing a CBDC. The announcement is made as part of its ‘Project Athena’ programme, which looks at digital tools that might disrupt the banking and payments industry.","UK’s central bank will assess the possibility of a ‘central bank digital currency’ - Financial giants. -|GEN|- The Bank of England is looking to explore a central bank digital currency, a new form of money with the potential to provide major benefits in terms of security and efficiency. The Bank of England (BoE) said it is looking into developing a CBDC. The announcement is made as part of its ‘Project Athena’ programme, which looks at digital tools that might disrupt the banking and payments industry.",3.00,1.67
198,139,0.96,Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations.,NLI GPJ - ENT,12.00,"The past 12 months have been good ones for builders. The housing market is back, demand is strong and borrowing is relatively cheap, leading to a boom in development and sales. What was once a problem, or an annoyance, for housebuilders, has now become a source of profit – especially now that they’re getting all this new work.","Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations. -|GEN|- The past 12 months have been good ones for builders. The housing market is back, demand is strong and borrowing is relatively cheap, leading to a boom in development and sales. What was once a problem, or an annoyance, for housebuilders, has now become a source of profit – especially now that they’re getting all this new work.",3.00,4.00
199,140,0.96,My best friend has a huge network of friends and family and many work and community commitments.,NLI GPJ - ENT,8.00,"She is a good friend but I know that she could be better. Is there an effective way to find some balance? I’ve tried to offer help with her schedule and asked her what she needs in the way of support, but I’m not sure what to do next.","My best friend has a huge network of friends and family and many work and community commitments. -|GEN|- She is a good friend but I know that she could be better. Is there an effective way to find some balance? I’ve tried to offer help with her schedule and asked her what she needs in the way of support, but I’m not sure what to do next.",3.00,2.67
200,0,0.4,"From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France.",NLI GPJ - CON,24.00,"The Côte d’Azur is the most popular destination for tourists, but there are plenty of other places to visit in France, from the Alps to the Pyrenees. Here are the top 10 places to visit in France:  1. Paris  The City of Light is the most visited city in the world, and for good reason.","From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France. -|GEN|- The Côte d’Azur is the most popular destination for tourists, but there are plenty of other places to visit in France, from the Alps to the Pyrenees. Here are the top 10 places to visit in France:  1. Paris  The City of Light is the most visited city in the world, and for good reason.",3.00,8.00
201,1,0.4,"After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind.",NLI GPJ - CON,6.00,"But it’s hard to imagine that the U.S. and Iran will be able to get along for long. The U.S. is the world’s only superpower, and Iran is the world’s only non-superpower. The U.S. is the world’s largest economy, and Iran is the world’s fourth-largest. The U.S. has a military budget","After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind. -|GEN|- But it’s hard to imagine that the U.S. and Iran will be able to get along for long. The U.S. is the world’s only superpower, and Iran is the world’s only non-superpower. The U.S. is the world’s largest economy, and Iran is the world’s fourth-largest. The U.S. has a military budget",3.00,2.00
202,2,0.4,"Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle.",NLI GPJ - CON,8.00,"But the process is surprisingly simple, and it’s actually a lot easier than you might think. You can make mole in a microwave, and you can make mole in a slow cooker. You can make mole in a pressure cooker, and you can make mole in a crockpot. And, if you’re really into it, you can make mole in a bread machine.","Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle. -|GEN|- But the process is surprisingly simple, and it’s actually a lot easier than you might think. You can make mole in a microwave, and you can make mole in a slow cooker. You can make mole in a pressure cooker, and you can make mole in a crockpot. And, if you’re really into it, you can make mole in a bread machine.",4.00,2.00
204,4,0.4,Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades.,NLI GPJ - CON,4.00,"But now, the company is looking to make the experience more fun by adding a new flavor: ""Cheddar Cheese"". The new flavor will be available in the United States starting in May, according to a press release. Cheetos are made with real cheese, and the new flavor will be available in three varieties: Cheddar Cheese, Cheese & Nacho and Cheese & Fritos.","Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades. -|GEN|- But now, the company is looking to make the experience more fun by adding a new flavor: ""Cheddar Cheese"". The new flavor will be available in the United States starting in May, according to a press release. Cheetos are made with real cheese, and the new flavor will be available in three varieties: Cheddar Cheese, Cheese & Nacho and Cheese & Fritos.",3.00,1.33
205,5,0.4,"ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said.",NLI GPJ - CON,9.00,"Police were called to the intersection of South Main and East Main streets around 2:45 a.m. for a report of a vehicle that had struck a pole, Elyria police said. When officers arrived, they found a man and woman in the driver’s seat of a black Ford Mustang.","ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said. -|GEN|- Police were called to the intersection of South Main and East Main streets around 2:45 a.m. for a report of a vehicle that had struck a pole, Elyria police said. When officers arrived, they found a man and woman in the driver’s seat of a black Ford Mustang.",2.00,4.50
206,6,0.4,"Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders.",NLI GPJ - CON,9.00,"“The move will help to boost the tourism sector and the economy,” said a Saudi businessman, who did not want to be named. “The decision will be welcomed by all Saudis and tourists,” he added. The businessman said that the move will also help to boost the Saudi-US relations.","Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders. -|GEN|- “The move will help to boost the tourism sector and the economy,” said a Saudi businessman, who did not want to be named. “The decision will be welcomed by all Saudis and tourists,” he added. The businessman said that the move will also help to boost the Saudi-US relations.",3.00,3.00
207,7,0.4,"ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year.",NLI GPJ - CON,3.00,"The judge, Michael R. Gorman, sentenced the defendant, Brian A. Bowers, to three years of probation and ordered him to pay $1,000 in fines and court costs. The judge also ordered Bowers to undergo a mental health evaluation and to undergo a drug and alcohol evaluation.","ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year. -|GEN|- The judge, Michael R. Gorman, sentenced the defendant, Brian A. Bowers, to three years of probation and ordered him to pay $1,000 in fines and court costs. The judge also ordered Bowers to undergo a mental health evaluation and to undergo a drug and alcohol evaluation.",2.00,1.50
208,8,0.4,"Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt.",NLI GPJ - CON,12.00,"The average student loan borrower has a debt of $27,172. 00, and that number is only going to get higher. You can’t get a credit card, or a car loan, or even a mortgage without a credit score. If you have a low credit score, you can’t even get a job. If you are thinking about going to school abroad, it is important to know that you can get a student loan.","Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt. -|GEN|- The average student loan borrower has a debt of $27,172. 00, and that number is only going to get higher. You can’t get a credit card, or a car loan, or even a mortgage without a credit score. If you have a low credit score, you can’t even get a job. If you are thinking about going to school abroad, it is important to know that you can get a student loan.",5.00,2.40
209,9,0.4,"Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record.",NLI GPJ - CON,2.00,"The judge's decision was made in a hearing Wednesday morning before Onondaga County Court Judge William Walsh. Abbott-Kenan, a Democrat, is accused of assaulting her husband, former Onondaga County Legislator Joseph Abbott, in their home on North Salina Street in Syracuse on Oct. 16.","Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record. -|GEN|- The judge's decision was made in a hearing Wednesday morning before Onondaga County Court Judge William Walsh. Abbott-Kenan, a Democrat, is accused of assaulting her husband, former Onondaga County Legislator Joseph Abbott, in their home on North Salina Street in Syracuse on Oct. 16.",2.00,1.00
210,10,0.4,"With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020.",NLI GPJ - CON,18.00,"The newspaper says the country has been a popular destination for Americans for decades, but that the country has become more accessible in recent years. “Peru is a country that is very much in the news,” says the Times. “Its president, Martín Vizcarra, has made a name for himself as a progressive leader who has made strides in the fight against corruption”.","With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020. -|GEN|- The newspaper says the country has been a popular destination for Americans for decades, but that the country has become more accessible in recent years. “Peru is a country that is very much in the news,” says the Times. “Its president, Martín Vizcarra, has made a name for himself as a progressive leader who has made strides in the fight against corruption”.",3.00,6.00
211,11,0.4,"Police, the canine unit and members of the community began searching for Luke.",NLI GPJ - CON,4.00,"Police said the dog was found at a home in the area of East Main Street and North Street. The dog was taken to the vet, where it was pronounced dead. Police said the dog was found with a gunshot wound to the head. The dog's owner, who is not being identified, was not home at the time of the shooting.","Police, the canine unit and members of the community began searching for Luke. -|GEN|- Police said the dog was found at a home in the area of East Main Street and North Street. The dog was taken to the vet, where it was pronounced dead. Police said the dog was found with a gunshot wound to the head. The dog's owner, who is not being identified, was not home at the time of the shooting.",4.00,1.00
212,12,0.4,"Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday.",NLI GPJ - CON,16.00,"The majority of those arrested were Zimbabwean nationals, but some were foreigners. Zimbabwean President Robert Mugabe, who is facing an impeachment vote in parliament, has said that the country's borders should be closed to foreigners. The country's border with Mozambique has been closed since October.","Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday. -|GEN|- The majority of those arrested were Zimbabwean nationals, but some were foreigners. Zimbabwean President Robert Mugabe, who is facing an impeachment vote in parliament, has said that the country's borders should be closed to foreigners. The country's border with Mozambique has been closed since October.",3.00,5.33
214,14,0.4,"Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school.",NLI GPJ - CON,2.00,"“I don’t know what the hell is going on,” said the defendant, a former Syracuse University football player who is accused of shooting and killing a former Syracuse University football player in a downtown Syracuse parking lot in January. The defendant, who is not being named to protect his identity, said he is not guilty of the charges and wants to be able to go to trial.","Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school. -|GEN|- “I don’t know what the hell is going on,” said the defendant, a former Syracuse University football player who is accused of shooting and killing a former Syracuse University football player in a downtown Syracuse parking lot in January. The defendant, who is not being named to protect his identity, said he is not guilty of the charges and wants to be able to go to trial.",2.00,1.00
215,15,0.4,"By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers.",NLI GPJ - CON,6.00,"The band played a few bars of the song and then the audience joined in. It was a good-natured, if slightly rowdy, rendition. The party was held in the basement of the town hall, a venue that had been booked for the evening. I had arrived in Bologna a few days earlier.","By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers. -|GEN|- The band played a few bars of the song and then the audience joined in. It was a good-natured, if slightly rowdy, rendition. The party was held in the basement of the town hall, a venue that had been booked for the evening. I had arrived in Bologna a few days earlier.",4.00,1.50
216,16,0.4,"It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly.",NLI GPJ - CON,5.00,"The air conditioner is on, but the heat is still on, and the windows are open. The room is filled with the smell of coffee and cigarettes. “It’s a bit of a zoo,” says one of the inmates, a white man in his early 30s. “But I’m not complaining”. He’s one of the lucky ones.","It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly. -|GEN|- The air conditioner is on, but the heat is still on, and the windows are open. The room is filled with the smell of coffee and cigarettes. “It’s a bit of a zoo,” says one of the inmates, a white man in his early 30s. “But I’m not complaining”. He’s one of the lucky ones.",5.00,1.00
217,17,0.4,"Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread.",NLI GPJ - CON,4.00,"The 37-year-old, who is pregnant with her first child with husband David, 37, and is due to give birth in April, said she 'couldn't resist' sharing the picture on Instagram. The image shows the brunette posing with a slice of the £6 loaf, which is available at Tesco, as well as a bottle of milk.","Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread. -|GEN|- The 37-year-old, who is pregnant with her first child with husband David, 37, and is due to give birth in April, said she 'couldn't resist' sharing the picture on Instagram. The image shows the brunette posing with a slice of the £6 loaf, which is available at Tesco, as well as a bottle of milk.",2.00,2.00
218,18,0.4,"Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie.",NLI GPJ - CON,3.00,"The Duchess of Sussex, who gave birth to Archie on May 6, has been travelling with the Duke and Duchess of Cambridge and Prince Harry, who are on a working visit to Canada. The couple, who are due to return to the UK on Saturday, are expected to return to the UK on Monday.","Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie. -|GEN|- The Duchess of Sussex, who gave birth to Archie on May 6, has been travelling with the Duke and Duchess of Cambridge and Prince Harry, who are on a working visit to Canada. The couple, who are due to return to the UK on Saturday, are expected to return to the UK on Monday.",2.00,1.50
